"","INSTNM","md_earn_wne_p10.REPORTED.EARNINGS","PREDDEG","index_std","AfterScorecardRelease","HighEarning"
"378","DeSales University",48300,3,0.0439388825629112,0,1
"379","Design Institute of San Diego",33900,3,0.0868683329180931,0,0
"380","Dickinson College",52100,3,-0.0266134838316171,0,1
"381","Dickinson State University",37000,3,-0.0544213488908781,0,0
"382","Dillard University",34000,3,0.0351125244603702,0,0
"383","Doane College-Crete",42300,3,-0.0178197239407828,0,1
"384","Doane College-Lincoln Grand Island and Master",42300,3,0.0195859510343525,0,1
"385","Dominican College of Blauvelt",51000,3,0.0916923470084522,0,1
"386","Dominican University",44400,3,0.0637124770713422,0,1
"387","Dominican University of California",51400,3,0.109417842913095,0,1
"388","Dordt College",38400,3,-0.220089919439546,0,0
"389","Dowling College",43000,3,0.0820520192423569,0,1
"390","Drake University",55700,3,-0.0232348630459812,0,1
"391","Drew University",50900,3,0.0505335373765013,0,1
"392","Drexel University",61100,3,0.0906892016783043,0,1
"393","Drury University",32200,3,0.103480638280058,0,0
"394","Duke University",76700,3,0.048936490822977,0,1
"395","Duquesne University",54300,3,-0.0570041946003546,0,1
"396","Earlham College",32300,3,0.0153060982778467,0,0
"397","East-West University",22300,3,0.0523158050966001,0,0
"398","East Carolina University",39200,3,0.047075329643089,0,0
"399","East Central University",34500,3,-0.0441008432492329,0,0
"400","East Stroudsburg University of Pennsylvania",42900,3,-0.023510931927235,0,1
"401","East Tennessee State University",34000,3,-0.0600268600763758,0,0
"402","East Texas Baptist University",36700,3,-0.00966845485584207,0,0
"403","Eastern Connecticut State University",42400,3,0.0400536522628545,0,1
"404","Eastern Illinois University",41200,3,0.0296183882980496,0,1
"405","Eastern Kentucky University",33100,3,-0.0195001833930444,0,0
"406","Eastern Mennonite University",39500,3,0.0349690873400492,0,0
"407","Eastern Michigan University",37300,3,-0.0124220680839403,0,0
"408","Eastern Nazarene College",44400,3,0.0365117152021547,0,1
"409","Eastern New Mexico University-Main Campus",30200,3,0.0588872253521986,0,0
"410","Eastern Oregon University",37800,3,-0.0662019061556963,0,0
"411","Eastern University",42800,3,0.0632610850793789,0,1
"412","Eastern Washington University",40500,3,-0.00764046812611052,0,0
"413","Eckerd College",40800,3,0.00566399103448691,0,0
"414","Edgewood College",40900,3,0.146300297709249,0,0
"415","Edinboro University of Pennsylvania",33900,3,-0.0265455413399829,0,0
"416","Edward Waters College",25600,3,0.0360453912446439,0,0
"417","Elizabeth City State University",30100,3,0.0692375007901209,0,0
"418","Elizabethtown College",47700,3,0.126549055640187,0,1
"419","Elmhurst College",48100,3,0.161005549493727,0,1
"420","Elmira College",43600,3,-0.0765443322898214,0,1
"421","Elon University",44500,3,-0.0266606347571304,0,1
"422","Embry-Riddle Aeronautical University-Daytona Beach",60900,3,0.0351966438307771,0,1
"423","Embry-Riddle Aeronautical University-Prescott",60900,3,-0.0305371109060192,0,1
"424","Embry-Riddle Aeronautical University-Worldwide",60900,3,0.0351966438307771,0,1
"425","Emerson College",44800,3,0.0109423562677967,0,1
"426","Emory & Henry College",39600,3,-0.0201720327305993,0,0
"427","Emory University",59000,3,0.0471264656310621,0,1
"428","Emporia State University",35900,3,-0.059279161940191,0,0
"429","Endicott College",42800,3,0.00913971437463331,0,1
"430","Erskine College",36000,3,0.0161267881390783,0,0
"431","Eureka College",37300,3,-0.0258427640718642,0,0
"432","Evangel University",34000,3,0.0507244193116507,0,0
"433","Everglades University",41500,3,0.0468183744912005,0,1
"434","Fairfield University",69000,3,-0.0137986843628589,0,1
"435","Fairleigh Dickinson University-College at Florham",46800,3,-0.0596192465970581,0,1
"436","Fairleigh Dickinson University-Metropolitan Campus",46800,3,0.0748003751722845,0,1
"437","Fairmont State University",34200,3,0.0293209940831793,0,0
"438","Faith Baptist Bible College and Theological Seminary",28100,3,-0.0153448943063913,0,0
"439","Farmingdale State College",45600,3,-0.0314905602479885,0,1
"440","Faulkner University",37600,3,0.115034624549018,0,0
"441","Fayetteville State University",31100,3,-0.0376804737355593,0,0
"442","Felician College",41400,3,-0.025103458448899,0,1
"443","Ferris State University",40300,3,0.0213271766115266,0,0
"444","Ferrum College",36500,3,-0.0452945002217386,0,0
"445","Finlandia University",26600,3,-0.0649166090964063,0,0
"446","Fisk University",33800,3,-0.00252853316732117,0,0
"447","Fitchburg State University",42100,3,0.0240623204985812,0,1
"448","Five Towns College",33800,3,0.127046564598428,0,0
"449","Flagler College-St Augustine",37200,3,0.0578485859160136,0,0
